id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000137,137,0267_840790,occlusion_alignment,0.448965,0.986273,3,14,3,-0.6000000000000001,0.44896477696470277,0.6145989764481947,1.8351757718323367e-13,0.44896477696470277,False,3,0,0.0,0,none,3
sft_000139,139,0267_840790,projective_relations,0.368958,0.95423,5,23,3,21.584191830457534,0.5974313005856242,0.9904794787966263,1.7631679421675132e-13,0.5974313005856242,True,0,3,1.3349552443988184,0,auto_term,3
sft_000140,140,0267_840790,projective_relations,0.584147,0.966624,4,17,1,20.53565472435663,0.58607476386103,0.9444131169225141,0.00505318772224217,0.58607476386103,True,0,1,0.4896909026575072,0,auto_term,1
sft_000143,143,0267_840790,equidistance,0.000695,0.982777,12,59,6,-0.1756605097546431,0.08649102991311917,0.029362167787532777,0.9738518140957615,0.08649102991311917,False,3,0,0.24644132054969156,0,none,6
sft_000144,144,0267_840790,projective_relations,0.472898,0.950044,6,25,1,20.514385242278486,0.4729329407769992,0.6630769659256085,0.00012273736985619508,0.4729329407769992,True,0,1,0.46936764092945077,0,auto_term,1
sft_000149,149,0267_840790,projective_relations,0.598172,0.962202,3,11,1,20.53584404163897,0.5981721588846556,0.9932021459748513,0.0,0.5981721588846556,True,0,1,0.49084404163896955,0,auto_term,1
sft_000150,150,0267_840790,projective_relations,0.488432,0.952344,5,24,1,20.56149024550317,0.5505647136059724,0.6965256769058634,0.20796841139387393,0.5505647136059724,True,0,1,0.48542401048240075,0,auto_term,1
sft_000152,152,0267_840790,size_distance_invariance,0.465673,0.952162,3,15,1,20.51270838020142,0.4662890486039335,0.6480801867044321,0.002187553862107958,0.4662890486039335,True,0,1,0.46740052879855026,0,auto_term,1
sft_000153,153,0267_840790,projective_relations,0.569371,0.976522,4,18,3,-0.6000000000000001,0.569370784384351,0.8981153121021844,0.0,0.569370784384351,False,3,0,0.0,0,none,3
sft_000155,155,0267_840790,occlusion_alignment,0.15408,0.978673,4,17,5,0.12346335295453226,0.30066645275201975,0.20433915950280437,0.9876262578602785,0.30066645275201975,False,3,1,0.5601701998696597,0,none,-1
sft_000156,156,0267_840790,equidistance,0.246212,0.995564,4,18,2,20.506983063145114,0.5900152555781476,0.9641616328897769,7.510311816774335e-13,0.5900152555781476,True,1,1,0.4900813303751263,0,auto_term,2
sft_000162,162,0267_840790,occlusion_alignment,0.552189,0.989778,3,13,3,-0.6000000000000001,0.5521886687418828,0.8491511859447769,7.633991432399009e-14,0.5521886687418828,False,3,0,0.0,0,none,3
sft_000163,163,0267_840790,equidistance,0.231107,0.960779,7,35,3,21.007900426094228,0.6763884391403026,0.5788322371307301,0.9588337889769993,0.6763884391403026,True,1,2,0.8952595163146869,0,auto_term,3
sft_000165,165,0267_840790,occlusion_alignment,0.471688,0.986267,3,14,3,-0.6000000000000001,0.4716875780671347,0.6605414266647087,1.2575935152661056e-13,0.4716875780671347,False,3,0,0.0,0,none,3
sft_000167,167,0267_840790,projective_relations,0.592678,0.983324,4,18,3,-0.6000000000000001,0.592678251051489,0.9734251132112737,0.0,0.592678251051489,False,3,0,0.0,0,none,3
sft_000174,174,0267_840790,projective_relations,0.555873,0.96933,4,18,2,20.358104979960178,0.6000588668226415,1.0,0.00014633384799309651,0.6000588668226415,True,1,1,0.49101209228107096,0,auto_term,2
