id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000150,150,0267_840790,projective_relations,0.488432,0.952344,5,24,4,51.24703788774,0.9463096120368113,0.9285574154300593,0.9757474166157092,0.9463096120368113,True,0,1,0.7212524257741116,0,auto_term,4
sft_000152,152,0267_840790,size_distance_invariance,0.465673,0.952162,3,15,3,51.429745546567,0.9521618954353082,0.9354290243915941,0.9796401963344946,0.9521618954353082,True,0,2,0.9237928227235972,0,auto_term,3
sft_000153,153,0267_840790,projective_relations,0.569371,0.976522,4,18,3,-0.6000000000000001,0.569370784384351,0.8981153121021844,0.0,0.569370784384351,False,3,0,0.0,0,none,3
sft_000155,155,0267_840790,occlusion_alignment,0.15408,0.978673,4,17,5,-0.38519290090133584,0.30066645275201975,0.20433915950280437,0.9876262578602785,0.30066645275201975,False,3,0,0.011178715000186667,0,none,-1
sft_000156,156,0267_840790,equidistance,0.246212,0.995564,4,18,5,0.5803859253896406,0.9107988120137016,0.9942765749432032,0.7845818528526541,0.9107988120137016,False,3,1,0.5707228203499513,0,none,-1
sft_000162,162,0267_840790,occlusion_alignment,0.552189,0.989778,3,13,3,-0.6000000000000001,0.5521886687418828,0.8491511859447769,7.633991432399009e-14,0.5521886687418828,False,3,0,0.0,0,none,3
sft_000163,163,0267_840790,equidistance,0.231107,0.960779,7,35,6,-0.128226575722521,0.6763884391403026,0.5788322371307301,0.9588337889769993,0.6763884391403026,False,4,0,0.23366301760660965,0,none,6
sft_000165,165,0267_840790,occlusion_alignment,0.471688,0.986267,3,14,3,-0.6000000000000001,0.4716875780671347,0.6605414266647087,1.2575935152661056e-13,0.4716875780671347,False,3,0,0.0,0,none,3
sft_000167,167,0267_840790,projective_relations,0.592678,0.983324,4,18,3,-0.6000000000000001,0.592678251051489,0.9734251132112737,0.0,0.592678251051489,False,3,0,0.0,0,none,3
sft_000174,174,0267_840790,projective_relations,0.555873,0.96933,4,18,3,50.77423528233461,0.9368700108845853,0.908351226300726,0.9855437311057831,0.9368700108845853,True,1,1,0.591733177820136,0,auto_term,3
sft_000176,176,0267_840790,projective_relations,0.6,0.952826,3,13,4,-0.5597806668480113,0.5145669147265057,0.7546759531431927,0.0001505559205701759,0.6000003333322221,False,3,0,0.06768260335437393,0,none,-1
sft_000178,178,0267_840790,occlusion_alignment,0.369662,0.989042,4,16,5,-0.6191153268820062,0.21220478300542206,0.24589904107703264,0.0014207901407293333,0.3696617872811418,False,3,0,0.021505209100684926,0,none,-1
sft_000180,180,0267_840790,equidistance,0.054246,0.965995,5,24,6,-0.16530426081111477,0.12057003275659059,0.1147661297964371,0.17855376240448648,0.12057003275659059,False,2,0,0.0041197809590724785,0,none,-1
sft_000183,183,0267_840790,equidistance,0.411279,0.971098,5,21,5,51.07527884558898,0.9734511629234879,0.9679010276437514,0.9821577310598313,0.9734511629234879,True,1,1,0.6650621990280081,0,auto_term,5
sft_000184,184,0267_840790,projective_relations,0.592787,0.966653,3,11,4,-0.4954218287480331,0.5545175264699113,0.8518302410934884,0.003843048683964138,0.5927872277155284,False,3,0,0.09463007246021993,0,none,-1
sft_000186,186,0267_840790,occlusion_alignment,0.393677,0.988516,4,15,5,-0.649651238255579,0.19316652648031613,0.22075202114231854,0.006645431222104542,0.39367656393321504,False,3,0,0.025451536429856106,0,none,-1
sft_000187,187,0267_840790,size_distance_invariance,0.514472,0.973029,3,13,3,51.14734035768722,0.9730292202689825,0.974618228500505,0.9705598644347244,0.9730292202689825,True,0,1,0.6621450530705618,0,auto_term,3
sft_000191,191,0267_840790,size_distance_invariance,0.586999,0.970608,2,6,1,50.776984560266314,0.9388853981486815,0.9539023196175419,0.9148601956149178,0.9388853981486815,True,0,1,0.4579867027675988,0,auto_term,1
sft_000197,197,0267_840790,equidistance,0.493842,0.994288,3,13,4,-0.28100503767863577,0.6322062234779139,0.9608201064600955,0.11155639901057134,0.6322062234779139,False,3,0,0.1683608636694197,0,none,-1
sft_000201,201,0267_840790,equidistance,0.320208,0.952501,3,13,4,-0.230759995198275,0.5831430768027116,0.9411137007941057,4.477755759267211e-06,0.5831430768027116,False,3,0,0.11855684984086766,0,none,-1
sft_000202,202,0267_840790,projective_relations,0.575323,0.989168,4,20,3,-0.6000000000000001,0.5753227154712179,0.9162309290832091,0.0,0.5753227154712179,False,3,0,0.0,0,none,3
sft_000204,204,0267_840790,equidistance,0.320208,0.952501,5,21,6,-0.11972155365302983,0.5831430768027116,0.9411137007941057,4.4777557592672125e-06,0.5831430768027116,False,3,0,0.14500219643816253,0,none,-1
sft_000205,205,0267_840790,equidistance,0.166312,0.995869,4,20,5,0.014899501951610217,0.6000398654207354,0.9998977056985279,0.0001670498911039493,0.6000398654207354,False,3,0,0.18659611884409089,0,none,-1
sft_000206,206,0267_840790,projective_relations,0.568019,0.98646,4,18,3,-0.6000000000000001,0.5680194851658786,0.894092772381221,0.0,0.5680194851658786,False,3,0,0.0,0,none,3
sft_000209,209,0267_840790,equidistance,0.341698,0.993636,4,17,3,50.98737168468541,0.9836408067759369,0.9997234253416757,0.9595075765412616,0.9836408067759369,True,1,1,0.5963996574366262,0,auto_term,3
sft_000210,210,0267_840790,projective_relations,0.507371,0.963688,6,22,7,0.04526216010168077,0.5941693802977362,0.9787010938499526,2.1898040251520923e-12,0.5941693802977362,False,3,0,0.41381233543598084,0,none,-1
sft_000213,213,0267_840790,equidistance,0.061319,0.991635,6,26,5,51.05686163659023,0.8731553659474569,0.9008503756882267,0.8253768312477928,0.8731553659474569,True,1,1,0.438075435430939,0,auto_term,5
sft_000214,214,0267_840790,projective_relations,0.551976,0.974992,5,21,6,-0.06484497883781815,0.5950190797951804,0.9817373043330001,1.5523871690579315e-12,0.6223607690369548,False,3,0,0.37987578949838485,0,none,-1
sft_000215,215,0267_840790,projective_relations,0.531551,0.98865,4,17,5,-0.3726130463249909,0.48233656954108467,0.6821764602921091,0.0016027378286047817,0.6000123903385522,False,3,0,0.18541711511135395,0,none,-1
sft_000218,218,0267_840790,projective_relations,0.15997,0.98886,6,29,7,0.8274738712783671,0.8720384129112106,0.8291463784319385,0.9541783077658695,0.8720384129112106,False,2,1,0.447512440795867,0,none,-1
